GPS LATITUDE (degrees),GPS LONGITUDE (degrees),GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE,TIME SINCE START (ms),DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (Î¼T),MAGNETIC FIELD Y (Î¼T),MAGNETIC FIELD Z (Î¼T),ORIENTATION (Azimuth) (Â°),ORIENTATION (Pitch) (Â°),ORIENTATION (Roll ) (Â°),latitude,longitude,timestamp,speed_mps,gyro_z,accel_forward,accel_lateral,x_m,y_m,heading_deg,dt_s,dr_speed_mps,dr_heading_deg,dr_x_m,dr_y_m,position_error_m
52.56183,-1.455243,158.52,0.0,6,129.42,25 / 25,1520,2019-11-06 10:41:48:863,0.0653,-0.0814,9.8808,-0.0023,-0.0005,9.8066,0.0068,0.0185,-0.0209,-14.0,-30.12,38.69,346.98,-88.54,-173.03,52.56183,-1.455243,1.52,0.0,-0.0209,0.0653,-0.0814,0.0,0.0,11.762454931471373,0.10000000000000009,0.12188562353795136,14.673284933425256,0.21432456944783432,0.051665136875802806,0.22046384610043207
52.56183,-1.455243,158.52,0.0,6,129.42,25 / 25,1620,2019-11-06 10:41:48:963,-0.1702,-0.1032,9.8916,-0.0015,0.0001,9.8066,-0.015,0.0089,-0.003,-14.37,-30.06,39.19,346.98,-88.54,-173.03,52.56183,-1.455243,1.62,0.0,-0.003,-0.1702,-0.1032,0.0,0.0,11.762454931471373,0.10000000000000009,0.09935844398327881,12.786412766438653,0.22401402343872273,0.053864110560556795,0.23039883919778004
52.56183,-1.455243,158.52,0.0,6,129.42,25 / 25,1719,2019-11-06 10:41:49:062,-0.0126,-0.1007,9.9447,0.0015,0.0008,9.8066,-0.0053,-0.0207,0.0032,-13.56,-30.87,39.19,347.31,-88.54,-172.7,52.56183,-1.455243,1.719,0.0,0.0032,-0.0126,-0.1007,0.0,0.0,11.762454931471373,0.09899999999999998,0.16571236662976369,13.296921925233068,0.23997973581123241,0.057637339400199314,0.24680424731588935
52.56183,-1.455243,158.52,0.0,6,129.42,25 / 25,1820,2019-11-06 10:41:49:163,0.1346,-0.0663,9.8053,-0.0018,0.0012,9.8066,-0.0035,-0.0281,0.0186,-14.0,-30.31,38.75,347.14,-88.55,-172.87,52.56183,-1.455243,1.82,0.0,0.0186,0.1346,-0.0663,0.0,0.0,11.762454931471373,0.10099999999999998,0.10459879622393944,12.744176169430927,0.25028395564455724,0.05996784532895347,0.2573678319574612
52.56183,-1.455243,158.52,0.0,6,129.42,25 / 25,1920,2019-11-06 10:41:49:263,0.0229,-0.0647,9.8768,-0.0016,0.0008,9.8066,0.0095,0.016,-0.0117,-14.12,-30.62,38.94,347.66,-88.57,-172.36,52.56183,-1.455243,1.92,0.0,-0.0117,0.0229,-0.0647,0.0,0.0,11.762454931471373,0.09999999999999987,0.07938481493323542,13.498213620131875,0.25800315403805935,0.061820806359734845,0.2653063127642356
52.56183,-1.455243,158.52,0.0,6,129.42,28 / 28,2019,2019-11-06 10:41:49:362,-0.078,-0.1079,9.8789,-0.0043,0.0048,9.8066,-0.0215,0.0198,0.008,-14.44,-30.31,39.13,347.66,-88.57,-172.36,52.56183,-1.455243,2.019,0.0,0.008,-0.078,-0.1079,0.0,0.0,11.762454931471373,0.0990000000000002,0.2232824384460777,12.807679330371837,0.27955813630064724,0.06672101639884753,0.28740989127235433
52.56183,-1.455243,158.52,0.0,6,129.42,28 / 28,2120,2019-11-06 10:41:49:463,0.1383,-0.0039,9.5927,0.0,0.0,9.8066,-0.0277,0.0123,-0.0135,-14.19,-30.75,38.69,349.14,-88.6,-170.91,52.56183,-1.455243,2.12,0.0,-0.0135,0.1383,-0.0039,0.0,0.0,11.762454931471373,0.10099999999999998,0.1387111849756732,12.842100538324022,0.2932175282893816,0.06983491078240704,0.3014190333408311
52.56183,-1.455243,158.52,0.0,6,129.42,28 / 28,2220,2019-11-06 10:41:49:563,0.0603,0.3999,9.495,-0.0005,-0.0002,9.8066,0.0432,-0.0136,0.0184,-14.19,-30.94,38.63,348.28,-88.59,-171.76,52.56183,-1.455243,2.22,0.0,0.0184,0.0603,0.3999,0.0,0.0,11.762454931471373,0.10000000000000009,0.1533764102343962,12.094836232226871,0.3082147062685762,0.07304861344822076,0.3167529085690174
52.56183,-1.455243,158.52,0.0,6,129.42,28 / 28,2320,2019-11-06 10:41:49:663,-0.3417,-0.0657,9.6021,-0.003,-0.0011,9.8066,-0.0035,-0.0454,-0.0114,-14.25,-30.81,39.19,348.28,-88.59,-171.76,52.56183,-1.455243,2.32,0.0,-0.0114,-0.3417,-0.0657,0.0,0.0,11.762454931471373,0.09999999999999964,0.07876259068932716,13.340690757727113,0.31587842644676317,0.07486598791469547,0.3246291675757533
52.56183,-1.455243,158.52,0.0,6,129.42,28 / 28,2420,2019-11-06 10:41:49:763,-0.4797,0.0194,9.7442,0.0016,0.0045,9.8066,-0.017,-0.0113,0.0463,-14.37,-30.75,39.0,349.51,-88.59,-171.01,52.56183,-1.455243,2.42,0.0,0.0463,-0.4797,0.0194,0.0,0.0,11.762454931471373,0.10000000000000009,0.12278086377374087,13.606270628995354,0.32781193152312577,0.0777543891476767,0.33690711996134903
52.56183,-1.455243,158.52,0.0,6,129.42,28 / 28,2519,2019-11-06 10:41:49:862,-0.1729,0.0237,9.8284,-0.0018,0.003,9.8066,-0.0121,0.0291,-0.0053,-14.31,-30.44,39.19,348.63,-88.6,-171.42,52.56183,-1.455243,2.519,0.0,-0.0053,-0.1729,0.0237,0.0,0.0,11.762454931471373,0.0990000000000002,0.1555461294854933,14.750836014025209,0.3427034793452595,0.08167523884628769,0.35230174480967996
52.56183,-1.455243,158.52,0.0,6,129.42,28 / 28,2620,2019-11-06 10:41:49:963,0.1572,0.146,9.7664,-0.0055,0.0037,9.8066,-0.0067,0.005,-0.0291,-14.19,-30.5,38.81,349.8,-88.63,-170.28,52.56183,-1.455243,2.62,0.0,-0.0291,0.1572,0.146,0.0,0.0,11.762454931471373,0.10099999999999998,0.09245032112888485,13.638056916423249,0.35177768773118145,0.0838769019391444,0.3616391520070877
52.56183,-1.455243,158.52,0.0,6,129.42,28 / 28,2720,2019-11-06 10:41:50:063,0.1454,0.0001,9.7857,0.0031,0.0008,9.8066,0.0085,0.003,0.0047,-14.0,-30.87,38.81,349.8,-88.63,-170.28,52.56183,-1.455243,2.72,0.0,0.0047,0.1454,0.0001,0.0,0.0,11.762454931471373,0.10000000000000009,0.1687849009172836,12.902707632833517,0.3682300068000847,0.0876458043034377,0.3785170074382219
52.56183,-1.455243,158.52,0.0,6,129.42,28 / 28,2820,2019-11-06 10:41:50:163,-0.3266,-0.0542,9.9032,0.002,-0.0003,9.8066,-0.0012,-0.0179,0.019,-14.37,-30.56,38.56,348.99,-88.63,-171.06,52.56183,-1.455243,2.82,0.0,0.019,-0.3266,-0.0542,0.0,0.0,11.762454931471373,0.09999999999999964,0.11996806550405975,12.174711661322501,0.379956994018965,0.09017585137337174,0.39051120531278
52.56183,-1.455243,158.52,0.0,6,129.42,28 / 28,2919,2019-11-06 10:41:50:262,-0.1853,-0.2191,9.862,0.0016,-0.002,9.8066,-0.0001,-0.0148,-0.0141,-14.12,-30.69,38.75,348.71,-88.62,-171.34,52.56183,-1.455243,2.919,0.0,-0.0141,-0.1853,-0.2191,0.0,0.0,11.762454931471373,0.0990000000000002,0.13541531251033614,12.28542532693899,0.3930561063183466,0.09302842942231596,0.40391507943492555
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 27,3020,2019-11-06 10:41:50:363,-0.0906,0.1413,9.8324,-0.0027,-0.0008,9.8066,-0.0107,0.0365,-0.0068,-14.12,-31.31,38.63,348.71,-88.62,-171.34,52.56183,-1.455243,3.02,0.0,-0.0068,-0.0906,0.1413,0.0,0.0,11.762454931471373,0.10099999999999998,0.11991466938853015,12.225952259893795,0.4048928026873855,0.09559322639822508,0.4160243341455742
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 27,3120,2019-11-06 10:41:50:463,0.098,-0.0312,9.809,0.004,0.0024,9.8066,-0.0026,0.0392,-0.0128,-14.19,-30.87,39.0,349.39,-88.62,-170.66,52.56183,-1.455243,3.12,0.0,-0.0128,0.098,-0.0312,0.0,0.0,11.762454931471373,0.10000000000000009,0.2426139092254469,14.764888559830878,0.4283530763394408,0.10177632025706423,0.4402780682415731
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 27,3222,2019-11-06 10:41:50:565,-0.2104,-0.0732,9.8048,0.0067,0.0027,9.8066,0.0098,0.0057,-0.0218,-13.81,-30.37,38.38,347.16,-88.62,-172.38,52.56183,-1.455243,3.222,0.0,-0.0218,-0.2104,-0.0732,0.0,0.0,11.762454931471373,0.10199999999999987,0.1493251387631033,13.49270332901247,0.4431638549098359,0.10533007877725674,0.4555091961681665
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 27,3320,2019-11-06 10:41:50:663,-0.2094,-0.0475,9.8765,-0.0018,0.0017,9.8066,0.0042,-0.0112,0.0159,-13.69,-30.56,38.06,347.16,-88.62,-172.38,52.56183,-1.455243,3.32,0.0,0.0159,-0.2094,-0.0475,0.0,0.0,11.762454931471373,0.09799999999999986,0.09711445355220497,12.796081956061858,0.4524447065490773,0.10743796913747027,0.46502594518657203
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 27,3420,2019-11-06 10:41:50:763,-0.0005,-0.0432,9.7426,-0.0018,-0.0009,9.8066,0.0172,-0.003,0.0024,-14.44,-30.69,39.19,346.68,-88.64,-172.04,52.56183,-1.455243,3.42,0.0,0.0024,-0.0005,-0.0432,0.0,0.0,11.762454931471373,0.10000000000000009,0.19112724560515945,12.494567247348762,0.471104775383119,0.11157295054431793,0.4841365847381747
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 27,3520,2019-11-06 10:41:50:863,-0.1464,-0.0196,9.7925,-0.0001,0.0014,9.8066,-0.0155,-0.0034,0.0063,-14.31,-31.19,39.06,349.61,-88.65,-170.46,52.56183,-1.455243,3.52,0.0,0.0063,-0.1464,-0.0196,0.0,0.0,11.762454931471373,0.10000000000000009,0.08895781750144888,12.577568659156235,0.47978707696690603,0.11351010623098329,0.4930316251935741
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 27,3620,2019-11-06 10:41:50:963,0.0324,-0.0814,9.8016,-0.0012,0.0018,9.8066,-0.0097,0.0038,-0.0002,-13.94,-30.62,38.81,349.83,-88.66,-170.25,52.56183,-1.455243,3.62,0.0,-0.0002,0.0324,-0.0814,0.0,0.0,11.762454931471373,0.10000000000000009,0.16044317975023775,12.775015415866271,0.49543423182102725,0.11705787796191847,0.50907526442859
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 27,3719,2019-11-06 10:41:51:062,0.0282,-0.1521,9.8839,0.0,0.0031,9.8066,-0.0067,-0.0054,-0.0048,-13.87,-30.31,39.06,349.83,-88.66,-170.25,52.56183,-1.455243,3.719,0.0,-0.0048,0.0282,-0.1521,0.0,0.0,11.762454931471373,0.09899999999999975,0.05201649380601121,14.315459104475496,0.5004239637288069,0.11833117853807762,0.5142240866473105
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 27,3820,2019-11-06 10:41:51:163,-0.0511,-0.0452,9.8206,-0.0002,0.001,9.8066,-0.0015,0.0006,-0.0054,-13.81,-30.12,38.94,349.9,-88.68,-170.19,52.56183,-1.455243,3.82,0.0,-0.0054,-0.0511,-0.0452,0.0,0.0,11.762454931471373,0.10099999999999998,0.08359069755507846,13.238500173825173,0.5086422625202931,0.12026459015994449,0.5226667416892931
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 27,3920,2019-11-06 10:41:51:263,-0.1223,-0.1497,9.8752,-0.0005,0.0005,9.8066,0.0002,0.013,0.0056,-14.0,-30.25,38.81,350.0,-88.68,-170.09,52.56183,-1.455243,3.92,0.0,0.0056,-0.1223,-0.1497,0.0,0.0,11.762454931471373,0.10000000000000009,0.15984306179345617,12.104481797652214,0.5242711870142356,0.12361641998821903,0.5386476555449019
52.56183,-1.455243,158.52,0.0,6,129.42,27 / 28,4020,2019-11-06 10:41:51:363,-0.113,0.023,9.837,-0.0029,0.0004,9.8066,0.0005,-0.0116,0.0001,-14.19,-30.06,39.38,350.0,-88.68,-170.09,52.56183,-1.455243,4.02,0.0,0.0001,-0.113,0.023,0.0,0.0,11.762454931471373,0.09999999999999964,0.18692332899977052,15.11082235125567,0.5423172027476828,0.1284892657062505,0.5573306377706171
52.56183,-1.455243,158.52,0.0,6,129.42,27 / 28,4120,2019-11-06 10:41:51:463,0.1495,-0.2298,9.9524,-0.0017,0.0017,9.8066,-0.0069,0.0121,0.0196,-13.75,-30.94,38.88,350.72,-88.69,-169.37,52.56183,-1.455243,4.12,0.0,0.0196,0.1495,-0.2298,0.0,0.0,11.762454931471373,0.10000000000000053,0.1585684140594985,12.350326019978656,0.557807086419125,0.1318808616755012,0.5731852295163108
52.56183,-1.455243,158.52,0.0,6,129.42,27 / 28,4220,2019-11-06 10:41:51:563,-0.0559,-0.1092,9.815,-0.0039,0.0027,9.8066,0.0018,0.013,-0.0112,-13.75,-30.69,38.5,351.61,-88.71,-168.5,52.56183,-1.455243,4.22,0.0,-0.0112,-0.0559,-0.1092,0.0,0.0,11.762454931471373,0.09999999999999964,0.14421758588058797,12.789786683532279,0.571871024319908,0.13507347369313932,0.5876064258942647
52.56183,-1.455243,158.52,0.0,6,129.42,27 / 28,4320,2019-11-06 10:41:51:663,-0.2573,-0.0162,9.8475,0.0,-0.0001,9.8066,0.0045,0.0043,-0.0169,-14.25,-30.56,38.63,351.61,-88.71,-168.5,52.56183,-1.455243,4.32,0.0,-0.0169,-0.2573,-0.0162,0.0,0.0,11.762454931471373,0.10000000000000053,0.13494481522053556,14.310570441578479,0.5849467740547538,0.13840900969515232,0.6010988125440409
52.56183,-1.455243,158.52,0.0,6,129.42,27 / 28,4420,2019-11-06 10:41:51:763,-0.0262,-0.1918,9.8676,-0.0044,-0.0028,9.8066,-0.0032,0.0121,-0.0073,-14.19,-30.5,38.75,351.61,-88.71,-168.5,52.56183,-1.455243,4.42,0.0,-0.0073,-0.0262,-0.1918,0.0,0.0,11.762454931471373,0.09999999999999964,0.07607390048162863,13.594574637558626,0.5923410298485462,0.14019712730897269,0.6087061114755827
52.56183,-1.455243,158.52,0.0,6,129.42,27 / 28,4519,2019-11-06 10:41:51:862,0.0811,0.0907,9.8327,0.0003,0.0003,9.8066,-0.001,-0.0206,0.0148,-14.19,-30.31,38.81,352.86,-88.69,-167.28,52.56183,-1.455243,4.519,0.0,0.0148,0.0811,0.0907,0.0,0.0,11.762454931471373,0.0990000000000002,0.11400778958026456,12.886516531772005,0.6033435290670918,0.14271431112323266,0.6199925714607486
52.56183,-1.455243,158.52,0.0,6,129.42,27 / 28,4620,2019-11-06 10:41:51:963,0.1468,-0.157,9.8712,-0.0003,0.0006,9.8066,-0.0025,-0.0192,0.0052,-14.12,-30.81,38.88,353.06,-88.69,-167.08,52.56183,-1.455243,4.62,0.0,0.0052,0.1468,-0.157,0.0,0.0,11.762454931471373,0.10099999999999998,0.12696806145201062,12.277361390596305,0.6158740193304585,0.1454412138833055,0.6328143127190656
52.56183,-1.455243,158.52,0.0,6,129.42,27 / 28,4720,2019-11-06 10:41:52:063,-0.137,0.0302,9.8436,-0.0003,-0.0001,9.8065,-0.0062,0.0077,0.0007,-13.81,-31.0,39.31,353.06,-88.69,-167.08,52.56183,-1.455243,4.72,0.0,0.0007,-0.137,0.0302,0.0,0.0,11.762454931471373,0.09999999999999964,0.20285611131094577,12.489102844331352,0.6356796151770872,0.14982805695344045,0.6530980169944883
52.56183,-1.455243,158.52,0.0,6,129.42,27 / 28,4820,2019-11-06 10:41:52:163,-0.2364,-0.0622,9.7745,-0.0001,0.0004,9.8066,-0.0013,0.0275,0.0004,-14.0,-30.0,38.81,353.28,-88.69,-166.86,52.56183,-1.455243,4.82,0.0,0.0004,-0.2364,-0.0622,0.0,0.0,11.762454931471373,0.10000000000000053,0.16718091447842306,12.5372580362102,0.6519990646597853,0.15345712711535306,0.6698148028968399
52.56183,-1.455243,158.52,0.0,6,129.42,27 / 28,4920,2019-11-06 10:41:52:263,-0.0954,-0.1603,9.827,-0.0029,-0.0002,9.8066,-0.0083,-0.0016,-0.0023,-14.25,-30.5,38.88,353.39,-88.7,-166.75,52.56183,-1.455243,4.92,0.0,-0.0023,-0.0954,-0.1603,0.0,0.0,11.762454931471373,0.09999999999999964,0.0618479922318633,13.268080369751013,0.6580187723141045,0.1548765851766061,0.6759996015928765
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 26,5020,2019-11-06 10:41:52:363,0.0317,0.0897,9.8175,-0.0059,0.0007,9.8066,0.0016,0.0008,0.0068,-14.0,-30.12,38.94,353.39,-88.7,-166.75,52.56183,-1.455243,5.02,0.0,0.0068,0.0317,0.0897,0.0,0.0,11.762454931471373,0.09999999999999964,0.16620419846973974,13.415304385296416,0.6741856864025516,0.15873265114420262,0.6926199493873584
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 26,5120,2019-11-06 10:41:52:463,0.0011,-0.111,9.8247,0.0001,-0.002,9.8065,0.0116,-0.0146,0.0108,-14.19,-30.19,39.0,355.38,-88.71,-165.26,52.56183,-1.455243,5.12,0.0,0.0108,0.0011,-0.111,0.0,0.0,11.762454931471373,0.10000000000000053,0.13074588597918416,13.1435312285663,0.6869177663421718,0.16170569796790715,0.7056945163962992
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 26,5220,2019-11-06 10:41:52:563,-0.1492,-0.0851,9.7899,0.0001,0.0038,9.8066,-0.0137,-0.0262,0.0037,-14.31,-30.25,38.06,354.33,-88.7,-165.35,52.56183,-1.455243,5.22,0.0,0.0037,-0.1492,-0.0851,0.0,0.0,11.762454931471373,0.09999999999999964,0.11615389998470205,13.231083880331909,0.6982248243680866,0.16436421703219023,0.7173099059712269
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 26,5320,2019-11-06 10:41:52:663,-0.0825,-0.1621,9.8494,-0.0011,0.0051,9.8066,0.0002,0.0204,-0.0022,-13.25,-29.62,39.69,356.76,-88.73,-165.18,52.56183,-1.455243,5.32,0.0,-0.0022,-0.0825,-0.1621,0.0,0.0,11.762454931471373,0.10000000000000053,0.18058381444204338,12.421876375315916,0.7158604630398444,0.16824872331016047,0.7353664633630769
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 26,5420,2019-11-06 10:41:52:763,0.0565,0.0366,9.8815,-0.0053,-0.0014,9.8066,0.0006,-0.0086,-0.0135,-13.81,-29.81,41.19,356.76,-88.73,-165.18,52.56183,-1.455243,5.42,0.0,-0.0135,0.0565,0.0366,0.0,0.0,11.762454931471373,0.09999999999999964,0.20154997612479755,13.496963816450485,0.7354588257657342,0.1729527755232545,0.7555212418972148
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 26,5520,2019-11-06 10:41:52:863,0.022,0.0256,9.8686,0.0012,0.0005,9.8066,0.0044,0.0079,-0.0139,-15.25,-29.87,62.94,0.78,-88.72,-163.77,52.56183,-1.455243,5.52,0.0,-0.0139,0.022,0.0256,0.0,0.0,11.762454931471373,0.09999999999999964,0.19656400595580992,14.28686984094097,0.7545072992847707,0.17780352195741472,0.7751744043081269
52.56183,-1.455243,158.52,0.0,6,129.42,26 / 26,5619,2019-11-06 10:41:52:962,-0.1081,-0.1195,9.8857,0.0024,-0.0014,9.8066,0.0021,0.0079,0.0154,-33.56,-34.75,59.13,345.49,-88.71,-164.39,52.56183,-1.455243,5.619,0.0,0.0154,-0.1081,-0.1195,0.0,0.0,11.762454931471373,0.0990000000000002,0.10803912383886807,13.132221586071719,0.7649234578188618,0.180233613763847,0.7858702512832125
